timestamp[ns],x[m/s^2],y[m/s^2],z[m/s^2]
865507335281548,19.24518,-6.064698,-6.9003
865507337282881,27.62993,-6.524399,-10.364816
865507339284214,28.49187,-5.482889,-7.120573
865507341288414,25.795918,-1.6161355,12.141368
865507343289780,25.092,0.6392714,19.427145
865507345291113,25.156645,3.1556542,24.423998
865507347292446,23.993029,2.516383,19.388838
865507349293746,22.436749,1.6664152,16.027275
865507351295146,17.550034,-0.9696813,7.371972
865507353299746,19.046455,-4.3168774,6.854809
865507355301112,21.689735,-5.6744313,6.1317377
865507357302445,24.701733,-7.989695,5.523592
865507359304045,24.701733,-7.989695,5.523592
865507361310345,21.368902,-7.350424,4.946572
865507363312011,17.444687,-0.91461295,2.4469488
865507365315111,16.034458,3.213117,1.4748733
865507367316477,10.458193,10.532414,-0.70631105
865507369317810,8.245882,10.915499,-1.7478206
865507371319143,5.62894,10.5803,-2.300898
865507373320176,-0.10055954,8.183631,-3.4716985
865507375324376,-4.7885494,4.7957325,-3.7638
865507377321976,-6.589044,3.2562137,-2.3272352
865507379323342,-6.708758,3.4645157,-0.57223165
865507381324208,-7.0966306,4.618556,2.0614705
865507383325574,-7.3049326,4.8340406,2.482863
865507385324574,-7.2809896,3.7709827,3.7638
865507387325907,-6.1484976,1.673598,4.4677167
865507389326940,-5.320079,1.0606637,3.7733772
865507391328006,-3.1987512,0.51716334,1.2474172
865507393329006,-0.047885496,-0.3328042,-1.5395187
865507395330039,1.4700848,-0.8978531,-1.908237
865507397331105,3.7685885,-1.7741576,-1.9321798
865507399332138,4.352792,-1.8507744,-1.2593886
865507401329438,5.31529,-2.0159793,-1.5850099
865507403333538,7.3480296,-1.7143008,-3.46691
865507405334571,9.378374,-1.1708003,-6.2514515
865507407335604,11.497308,-0.5770202,-9.354432
865507409336704,12.474172,-0.48843205,-12.814158
865507411337737,15.66574,-0.67757976,-23.703321
865507413335503,17.830164,-1.1037607,-25.396072
865507415338069,19.125467,-2.2003386,-18.249163
865507417339102,14.693665,-0.74701375,3.2514253
865507419340168,14.693665,-0.74701375,3.2514253
865507421336268,13.15654,0.37350687,6.342434
865507423340568,13.000913,0.88588166,-3.7350688
865507425339868,12.778245,1.0319325,-6.2131433
865507427345001,9.445415,1.4174107,-3.1748085
865507429346034,8.564321,1.0247496,-1.4605076
865507431347067,7.9322324,0.40463245,-0.062251143
865507433348433,7.307327,-1.5850099,1.2737542
865507435346599,7.355212,-2.578634,-0.06943397
865507437347965,7.5587254,-0.5794145,-0.24900457
865507439349298,7.309721,0.92658436,-0.2777359
865507441350631,7.429435,3.1604428,-2.7390504
865507443351697,7.4270406,3.668029,-2.9162266
865507445352697,7.0295906,2.885101,-2.8539755
865507447358330,7.7143536,1.7166951,-3.2873392
865507449359696,8.0926485,1.2546,-2.7653873
